Дата;"Реальная сумма";"Планируемая сумма";"Валюта";"Категория";"Описание";"Счёт";"Конверт";"Перевод"		
2025-08-01;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-08-01;"-17.5";"";"azn";"Продукты";"17.5";"ASB kart";"Резервы";""		
2025-08-01;"20.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2025-08-01;"-17.0";"";"azn";"Продукты";"17";"ASB kart";"Резервы";""		
2025-07-31;"-6.0";"-8.0";"azn";"Интернет и связь";"3 3 Ильгар Самира";"Albali кредитная карта";"Резервы";""		
2025-07-31;"45.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-07-31;"-2.0";"";"azn";"Продукты";"2";"Кошелёк";"Резервы";""		
2025-07-31;"-20.0";"-25.0";"azn";"Продукты";"20";"ASB kart";"Резервы";""		
2025-07-31;"-25.0";"-25.0";"azn";"Интернет и связь";"25 ailenet";"Albali кредитная карта";"Резервы";""		
2025-07-30;"-27.0";"";"azn";"Продукты";"27";"ASB kart";"Резервы";""		
2025-07-30;"70.0";"";"azn";"";"";"";"";"ABB kart Samira => Кошелёк"		
2025-07-29;"-44.1";"-25.0";"azn";"Продукты";"2.1 10 32";"ASB kart";"Резервы";""		
2025-07-29;"-10.0";"";"azn";"Продукты";"10";"Кошелёк";"Резервы";""		
2025-07-29;"-6.0";"";"azn";"Продукты";"6";"Кошелёк";"Резервы";""		
2025-07-28;"-40.0";"";"azn";"Платный софт";"40 chatgpt";"Albali kart";"Резервы";""		
2025-07-28;"-6.0";"";"azn";"Дом";"6";"Кошелёк";"Резервы";""		
2025-07-28;"-6.0";"";"azn";"Ребенок";"6";"Кошелёк";"Резервы";""		
2025-07-28;"40.0";"";"azn";"";"";"";"";"ABB kart Samira => Albali kart"		
2025-07-27;"-8.0";"-20.0";"azn";"Ребенок / Траты";"8";"Кошелёк";"Резервы";""		
2025-07-27;"15.0";"";"azn";"Проценты и бонусы";"15";"Albali kart";"Резервы";""		
2025-07-27;"-4.0";"";"azn";"Продукты";"4";"Albali kart";"Резервы";""		
2025-07-27;"-3.0";"";"azn";"Интернет и связь";"3 samira";"Albali kart";"Резервы";""		
2025-07-27;"-2.0";"";"azn";"Продукты";"2";"Albali kart";"Резервы";""		
2025-07-27;"-20.0";"";"azn";"Продукты";"20";"Кошелёк";"Резервы";""		
2025-07-27;"-45.0";"";"azn";"Гигиена и красота";"45 салон";"Кошелёк";"Резервы";""		
2025-07-27;"-30.0";"";"azn";"Продукты";"30";"ASB kart";"Резервы";""		
2025-07-27;"-21.6";"";"azn";"Ребенок";"21.6 витамины";"ASB kart";"Резервы";""		
2025-07-27;"-10.5";"";"azn";"Дом";"10.5";"ASB kart";"Резервы";""		
2025-07-26;"95.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-07-26;"-31.0";"-25.0";"azn";"Продукты";"16 15";"ASB kart";"Резервы";""		
2025-07-26;"-3.0";"";"azn";"Подарки";"3 Elxana";"Кошелёк";"Резервы";""		
2025-07-26;"-95.0";"";"azn";"Автомобиль / Запчасти";"95";"ASB kart";"Резервы";""		
2025-07-26;"-5.0";"";"azn";"Интернет и связь";"5 ilqar";"Albali kart";"Резервы";""		
2025-07-26;"-10.0";"";"azn";"Подарки";"10";"ASB kart";"Резервы";""		
2025-07-26;"-7.0";"";"azn";"Продукты";"7";"Кошелёк";"Резервы";""		
2025-07-25;"-35.0";"-25.0";"azn";"Автомобиль / Бензин";"35";"ASB kart";"Резервы";""		
2025-07-25;"-10.0";"";"azn";"Продукты";"10";"Кошелёк";"Резервы";""		
2025-07-25;"-10.0";"";"azn";"Дом";"10";"Albali kart";"Резервы";""		
2025-07-25;"-5.0";"-4.0";"azn";"Развлечения и хобби";"5 futbol";"Кошелёк";"Резервы";""		
2025-07-25;"-15.0";"";"azn";"Ребенок";"15 в садик";"Кошелёк";"Резервы";""		
2025-07-25;"10.0";"";"azn";"Проценты и бонусы";"10 edv";"Albali kart";"Резервы";""		
2025-07-24;"-19.2";"-25.0";"azn";"Продукты";"7.2 12";"ASB kart";"Резервы";""		
2025-07-23;"-7.35";"";"azn";"Продукты";"7.35";"Albali kart";"Резервы";""		
2025-07-23;"-29.0";"";"azn";"Ребенок";"29 витамины";"ASB kart";"Резервы";""		
2025-07-22;"-27.130000000000003";"-25.0";"azn";"Продукты";"7 10 10.13";"ASB kart";"Резервы";""		
2025-07-22;"-5.5";"";"azn";"Продукты";"5.5";"Кошелёк";"Резервы";""		
2025-07-22;"-3.0";"";"azn";"Интернет и связь";"3 ilqar azercell";"Albali kart";"Резервы";""		
2025-07-21;"7.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-07-21;"-80.0";"-100.0";"azn";"Одежда и обувь";"15 65";"Кошелёк";"Резервы";""		
2025-07-21;"-6.0";"-6.0";"azn";"Платный софт";"6 Yandex Music";"ASB kart";"Резервы";""		
2025-07-21;"-4.0";"";"azn";"Гигиена и красота";"4";"ASB kart";"Резервы";""		
2025-07-20;"-2.0";"-20.0";"azn";"Ребенок / Траты";"2";"Кошелёк";"Резервы";""		
2025-07-19;"-50.0";"";"azn";"Подарки";"50 сын Лятифа из армии приехал";"Кошелёк";"Резервы";""		
2025-07-19;"-27.0";"-25.0";"azn";"Продукты";"27";"Кошелёк";"Резервы";""		
2025-07-19;"-40.0";"-80.0";"azn";"Подарки";"40 в деревню";"ASB kart";"Резервы";""		
2025-07-18;"145.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-07-18;"-9.13";"";"azn";"Продукты";"9.13";"ASB kart";"Резервы";""		
2025-07-18;"-25.0";"-25.0";"azn";"Автомобиль / Бензин";"25";"ASB kart";"Резервы";""		
2025-07-18;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-07-17;"-5.7";"";"azn";"Гигиена и красота";"5.7";"Кошелёк";"Резервы";""		
2025-07-17;"-15.0";"-25.0";"azn";"Продукты";"15";"Кошелёк";"Резервы";""		
2025-07-15;"-51.0";"-75.0";"azn";"Подарки";"51 ребенку больного раком";"ABB kart Samira";"Резервы";""		
2025-07-15;"-12.0";"-25.0";"azn";"Продукты";"12";"Albali kart";"Резервы";""		
2025-07-15;"-1.5";"";"azn";"Продукты";"1.5";"ASB kart";"Резервы";""		
2025-07-15;"15.0";"";"azn";"Проценты и бонусы";"15 edv";"Albali kart";"Резервы";""		
2025-07-14;"-8.2";"";"azn";"Продукты";"8.2";"Кошелёк";"Резервы";""		
2025-07-14;"-16.63";"-40.0";"azn";"Ком. услуги / Электроэнергия";"16.63";"ASB kart";"Резервы";""		
2025-07-14;"-500.0";"-500.0";"azn";"Ребенок / Терапия";"500 детский садик и терапия";"Кошелёк";"Резервы";""		
2025-07-14;"-12.0";"-13.0";"azn";"Интернет и связь";"12 ilqar internet";"ABB kart Samira";"Резервы";""		
2025-07-14;"-2.0";"";"azn";"Продукты";"2";"ASB kart";"Резервы";""		
2025-07-13;"-6.0";"-20.0";"azn";"Ребенок / Траты";"6";"Кошелёк";"Резервы";""		
2025-07-13;"-15.0";"";"azn";"Продукты";"15";"Кошелёк";"Резервы";""		
2025-07-13;"545.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-07-13;"-34.0";"";"azn";"Гигиена и красота";"34";"ABB kart Samira";"Резервы";""		
2025-07-13;"-5.1";"";"azn";"Продукты";"5.1";"ASB kart";"Резервы";""		
2025-07-12;"-46.0";"-25.0";"azn";"Продукты";"20 26";"ASB kart";"Резервы";""		
2025-07-12;"-7.0";"";"azn";"Продукты";"7";"Кошелёк";"Резервы";""		
2025-07-11;"-22.0";"";"azn";"Гигиена и красота";"22";"ABB kart Samira";"Резервы";""		
2025-07-11;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-07-11;"111.0";"";"azn";"";"";"";"";"ABB kart Samira => Albali кредитная карта"		
2025-07-11;"-25.0";"-25.0";"azn";"Автомобиль / Бензин";"25";"ASB kart";"Резервы";""		
2025-07-11;"-9.0";"-10.0";"azn";"Ком. услуги / Вода";"9";"ASB kart";"Резервы";""		
2025-07-10;"4.45";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-07-10;"-4.0";"";"azn";"Гигиена и красота";"4";"ASB kart";"Резервы";""		
2025-07-10;"-40.15";"-25.0";"azn";"Продукты";"9 4 4.45 22.7";"ASB kart";"Резервы";""		
2025-07-10;"393.0";"393.0";"azn";"Пенсия Самира";"393";"ABB kart Samira";"Резервы";""		
2025-07-09;"-8.5";"";"azn";"Транспорт";"2 2 0.5 2 2";"Кошелёк";"Резервы";""		
2025-07-09;"-107.0";"";"azn";"Медицина / Лекарства";"107";"ASB kart";"Резервы";""		
2025-07-09;"-130.0";"";"azn";"Медицина / Лечение";"80 УЗИ	 50 гинеколог";"ASB kart";"Резервы";""	
2025-07-09;"4.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-07-08;"4.2";"";"azn";"";"";"";"";"Albali kart => ASB kart"		
2025-07-08;"11.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-07-08;"-28.2";"-25.0";"azn";"Продукты";"5 4.2 11 8";"ASB kart";"Резервы";""		
2025-07-08;"-5.6";"-5.6";"azn";"Платный софт";"5.6 ticktick";"Albali кредитная карта";"Резервы";""		
2025-07-07;"20.0";"";"azn";"";"";"";"";"ABB kart Samira => Albali kart"		
2025-07-07;"-14.6";"";"azn";"Продукты";"14.6";"Albali kart";"Резервы";""		
2025-07-07;"-3.0";"";"azn";"Интернет и связь";"3 samira";"ABB kart Samira";"Резервы";""		
2025-07-07;"-16.0";"-16.0";"azn";"Ком. услуги / Квартира";"16";"Кошелёк";"Резервы";""		
2025-07-06;"-14.0";"";"azn";"Продукты";"14";"Кошелёк";"Резервы";""		
2025-07-06;"-8.35";"";"azn";"Продукты";"8.35";"ASB kart";"Резервы";""		
2025-07-06;"-50.1";"-20.0";"azn";"Ребенок";"50.1";"ASB kart";"Резервы";""		
2025-07-05;"-5.55";"";"azn";"Гигиена и красота";"2.3 3.25";"ASB kart";"Резервы";""		
2025-07-05;"7.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-07-05;"-38.3";"-25.0";"azn";"Продукты";"27.8 3.5 7";"ASB kart";"Резервы";""		
2025-07-05;"-25.0";"-25.0";"azn";"Платный софт";"25 Notion";"Albali кредитная карта";"Резервы";""		
2025-07-04;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-07-04;"-58.2";"-60.0";"azn";"Медицина / Лекарства";"58.2 Финлипсал Эпинекс и Бисогамма";"ASB kart";"Резервы";""		
2025-07-04;"-25.0";"-25.0";"azn";"Автомобиль / Бензин";"25";"ASB kart";"Резервы";""		
2025-07-04;"50.0";"50.0";"azn";"";"";"";"";"Albali кредитная карта => Лотерея"		
2025-07-03;"-11.0";"";"azn";"Транспорт";"11";"Кошелёк";"Резервы";""		
2025-07-03;"-90.0";"";"azn";"Подарки";"90 часы маме на день рождения";"ASB kart";"Резервы";""		
2025-07-03;"-30.0";"";"azn";"Ребенок";"30 у врача";"Albali kart";"Резервы";""		
2025-07-03;"-23.0";"";"azn";"Ребенок";"23 лекарства";"ASB kart";"Резервы";""		
2025-07-03;"195.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-07-03;"-30.0";"";"azn";"Подарки";"5 25 цветок и торт маме на день рождения";"Кошелёк";"Резервы";""		
2025-07-03;"30.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2025-07-03;"-23.0";"-25.0";"azn";"Продукты";"23";"ASB kart";"Резервы";""		
2025-07-02;"2265.0";"2000.0";"azn";"Зарплата Ильгар";"2265";"ASB kart";"Резервы";""		
2025-07-02;"265.0";"265.0";"azn";"Зарплата Ильгар";"265";"Страхование жизни";"Страхование жизни";""		
2025-07-01;"4.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-07-01;"-24.6";"-25.0";"azn";"Продукты";"8.6 4 12";"ASB kart";"Резервы";""		
2025-07-01;"12.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-06-30;"5.0";"";"azn";"";"";"";"";"Albali kart => Albali кредитная карта"		
2025-06-30;"-50.0";"";"azn";"Подарки";"50 Mehrab yas";"Кошелёк";"Резервы";""		
2025-06-30;"-7.0";"-8.0";"azn";"Интернет и связь";"4 3 Ильгар Самира";"ABB kart Samira";"Резервы";""		
2025-06-30;"-25.0";"-25.0";"azn";"Интернет и связь";"25 ailenet";"Albali kart";"Резервы";""		
2025-06-29;"100.0";"";"azn";"";"";"";"";"ХаниМани => Лотерея"		
2025-06-29;"-9.0";"-20.0";"azn";"Ребенок / Траты";"9";"ASB kart";"Резервы";""		
2025-06-28;"-5.0";"-25.0";"azn";"Продукты";"5";"Кошелёк";"Резервы";""		
2025-06-27;"-23.0";"-25.0";"azn";"Автомобиль / Бензин";"23";"ASB kart";"Резервы";""		
2025-06-26;"-61.0";"";"azn";"Подарки";"32 29 в деревню";"ASB kart";"Резервы";""		
2025-06-26;"-18.0";"";"azn";"Подарки";"18 в деревню";"Кошелёк";"Резервы";""		
2025-06-26;"45.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-06-25;"-220.0";"";"azn";"Ребенок / Терапия";"120 психотерапевт	 100 ЭКГ";"ASB kart";"Резервы";""	
2025-06-25;"-6.0";"";"azn";"Транспорт";"6";"Кошелёк";"Резервы";""		
2025-06-25;"-10.0";"";"azn";"Подарки";"10";"Кошелёк";"Резервы";""		
2025-06-24;"-12.0";"-25.0";"azn";"Продукты";"12";"ASB kart";"Резервы";""		
2025-06-23;"-31.0";"";"azn";"Продукты";"3 28";"Кошелёк";"Резервы";""		
2025-06-23;"-11.0";"";"azn";"Дом";"11";"ABB kart Samira";"Резервы";""		
2025-06-22;"-25.0";"";"azn";"Продукты";"25";"Кошелёк";"Резервы";""		
2025-06-22;"-3.0";"";"azn";"Интернет и связь";"3 Ильгар";"ASB kart";"Резервы";""		
2025-06-22;"-7.0";"";"azn";"Продукты";"7";"ASB kart";"Резервы";""		
2025-06-22;"-102.0";"-25.0";"azn";"Кафе	 ресторан";"102";"ASB kart";"Резервы";""	
2025-06-21;"-8.0";"";"azn";"Подарки";"8";"Кошелёк";"Резервы";""		
2025-06-21;"-11.7";"";"azn";"Продукты";"4.7 7";"Кошелёк";"Резервы";""		
2025-06-21;"4.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-06-21;"-42.0";"-100.0";"azn";"Одежда и обувь";"28 14";"Кошелёк";"Резервы";""		
2025-06-21;"-34.22";"-25.0";"azn";"Продукты";"17 7.7 4 5.52";"ASB kart";"Резервы";""		
2025-06-21;"-6.0";"-6.0";"azn";"Платный софт";"6 Yandex Music";"ASB kart";"Резервы";""		
2025-06-20;"-5.0";"";"azn";"Медицина / Лекарства";"5";"ASB kart";"Резервы";""		
2025-06-20;"-42.21";"";"azn";"Одежда и обувь";"6.8 11.76 5.51 14.63 3.51";"Albali kart";"Резервы";""		
2025-06-20;"-10.34";"";"azn";"Дом";"5.58 4.76 потенциометры";"Albali kart";"Резервы";""		
2025-06-20;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-06-20;"-25.0";"-25.0";"azn";"Автомобиль / Бензин";"25";"ASB kart";"Резервы";""		
2025-06-19;"-5.2";"";"azn";"Продукты";"5.2";"Кошелёк";"Резервы";""		
2025-06-19;"8.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-06-19;"-83.0";"-80.0";"azn";"Подарки";"40 bibiler ucun 18 25";"Кошелёк";"Резервы";""		
2025-06-19;"-36.3";"-25.0";"azn";"Продукты";"16.3 20";"ASB kart";"Резервы";""		
2025-06-17;"-5.0";"";"azn";"Медицина / Лекарства";"5";"ASB kart";"Резервы";""		
2025-06-17;"-37.0";"-25.0";"azn";"Продукты";"37";"ASB kart";"Резервы";""		
2025-06-16;"95.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-06-15;"-11.4";"";"azn";"Дом";"11.4 Фильтры для воды";"ASB kart";"Резервы";""		
2025-06-15;"-19.0";"-75.0";"azn";"Подарки";"19";"ASB kart";"Резервы";""		
2025-06-15;"-10.5";"-20.0";"azn";"Ребенок / Траты";"2.5 2.5 5.5";"Кошелёк";"Резервы";""		
2025-06-15;"-37.5";"-100.0";"azn";"Гигиена и красота";"28.5 9";"ASB kart";"Резервы";""		
2025-06-14;"-11.1";"";"azn";"Продукты";"1.5 5.6 4";"ASB kart";"Резервы";""		
2025-06-14;"-32.2";"-40.0";"azn";"Ком. услуги / Электроэнергия";"32.2";"ASB kart";"Резервы";""		
2025-06-14;"-16.0";"-25.0";"azn";"Продукты";"13 3";"Кошелёк";"Резервы";""		
2025-06-14;"-12.0";"-13.0";"azn";"Интернет и связь";"12 ilqar internet";"ASB kart";"Резервы";""		
2025-06-13;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-06-13;"-30.0";"-25.0";"azn";"Автомобиль / Бензин";"30";"ASB kart";"Резервы";""		
2025-06-13;"-11.0";"";"azn";"Транспорт";"11";"Кошелёк";"Резервы";""		
2025-06-13;"-16.0";"";"azn";"Подарки";"16 Orxan operator yas";"ABB kart Samira";"Резервы";""		
2025-06-12;"-1.5";"";"azn";"Гигиена и красота";"1.5";"ASB kart";"Резервы";""		
2025-06-12;"-22.560000000000002";"-25.0";"azn";"Продукты";"14.56 5 3";"ASB kart";"Резервы";""		
2025-06-11;"5.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-06-11;"-500.0";"-500.0";"azn";"Ребенок / Терапия";"500 детский садик и терапия";"Кошелёк";"Резервы";""		
2025-06-11;"-11.0";"-10.0";"azn";"Ком. услуги / Вода";"11";"ASB kart";"Резервы";""		
2025-06-10;"-18.6";"";"azn";"Продукты";"18.6";"Кошелёк";"Резервы";""		
2025-06-10;"-52.0";"-25.0";"azn";"Продукты";"52";"ASB kart";"Резервы";""		
2025-06-09;"-28.0";"";"azn";"Ребенок / Одежда";"13 15";"Кошелёк";"Резервы";""		
2025-06-09;"695.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-06-09;"80.0";"";"azn";"";"";"";"";"Кошелёк => Albali kart"		
2025-06-09;"393.0";"393.0";"azn";"Пенсия Самира";"393";"ABB kart Samira";"Резервы";""		
2025-06-08;"-3.0";"";"azn";"Интернет и связь";"3 ilqar";"ASB kart";"Резервы";""		
2025-06-08;"-51.0";"";"azn";"Гигиена и красота";"51 faberlic";"ABB kart Samira";"Резервы";""		
2025-06-08;"-40.0";"-80.0";"azn";"Ребенок / Одежда";"40";"Кошелёк";"Резервы";""		
2025-06-08;"-5.6";"-5.6";"azn";"Платный софт";"5.6 ticktick";"Albali кредитная карта";"Резервы";""		
2025-06-07;"-13.0";"-16.0";"azn";"Ком. услуги / Квартира";"13";"Кошелёк";"Резервы";""		
2025-06-07;"-26.0";"";"azn";"Кафе	 ресторан";"26";"Кошелёк";"Резервы";""	
2025-06-07;"-20.0";"";"azn";"Подарки";"20";"Кошелёк";"Резервы";""		
2025-06-06;"-44.0";"-25.0";"azn";"Автомобиль / Бензин";"44";"ASB kart";"Резервы";""		
2025-06-05;"220.0";"";"azn";"";"";"";"";"ABB kart Samira => Albali кредитная карта"		
2025-06-05;"5.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-06-05;"145.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-06-05;"50.0";"";"azn";"";"";"";"";"ABB kart Samira => Лотерея"		
2025-06-05;"-26.0";"-25.0";"azn";"Продукты";"12 9 5";"Кошелёк";"Резервы";""		
2025-06-05;"-25.0";"-25.0";"azn";"Платный софт";"25 Notion";"Albali кредитная карта";"Резервы";""		
2025-06-04;"50.0";"50.0";"azn";"";"";"";"";"ABB kart Samira => Лотерея"		
2025-06-04;"7.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2025-06-04;"195.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-06-04;"-22.18";"";"azn";"Гигиена и красота";"1.95 3.38 7.25 9.6";"ASB kart";"Резервы";""		
2025-06-04;"-145.0";"-60.0";"azn";"Медицина / Лекарства";"145 Финлипсал Эпинекс и Бисогамма Самира беременность";"ASB kart";"Резервы";""		
2025-06-03;"-3.0";"";"azn";"Интернет и связь";"3 Ильгар";"Albali kart";"Резервы";""		
2025-06-03;"23.0";"";"azn";"";"";"";"";"ASB kart => Кошелек Самира"		
2025-06-03;"-32.0";"-25.0";"azn";"Продукты";"2 7 23";"Кошелек Самира";"Резервы";""		
2025-06-03;"-1.0";"-5.0";"azn";"Проценты и бонусы";"1";"ABB kart Samira";"Резервы";""		
2025-06-02;"-5.3";"";"azn";"Транспорт";"5.3";"Кошелёк";"Резервы";""		
2025-06-02;"-3.0";"";"azn";"Кафе	 ресторан";"3";"Кошелёк";"Резервы";""	
2025-06-02;"-50.0";"";"azn";"Медицина / Лечение";"50 гинеколог";"Albali кредитная карта";"Резервы";""		
2025-06-02;"-0.7";"";"azn";"Продукты";"0.7";"ABB kart Samira";"Резервы";""		
2025-06-01;"-20.0";"";"azn";"Кафе	 ресторан";"20";"Кошелёк";"Резервы";""	
2025-06-01;"2325.0";"2000.0";"azn";"Зарплата Ильгар";"2325";"ASB kart";"Резервы";""		
2025-06-01;"-15.0";"-20.0";"azn";"Ребенок / Траты";"15";"Кошелёк";"Резервы";""		
2025-06-01;"265.0";"265.0";"azn";"Зарплата Ильгар";"265";"Страхование жизни";"Страхование жизни";""		
2025-05-31;"229.0";"";"azn";"";"";"";"";"Резервы => ХаниМани"		
2025-05-31;"25.0";"";"azn";"";"";"";"";"Albali кредитная карта => Кошелёк"		
2025-05-31;"-6.0";"-8.0";"azn";"Интернет и связь";"3 3 Ильгар Самира";"Albali кредитная карта";"Резервы";""		
2025-05-31;"-25.0";"-25.0";"azn";"Интернет и связь";"25 ailenet";"Albali кредитная карта";"Резервы";""		
2025-05-31;"-25.0";"-25.0";"azn";"Продукты";"25";"Albali кредитная карта";"Резервы";""		
2025-05-30;"11.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2025-05-30;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-05-29;"-30.0";"-30.0";"azn";"Платный софт";"30 honemoney";"Albali кредитная карта";"Резервы";""		
2025-05-29;"-10.0";"-25.0";"azn";"Продукты";"10";"Кошелёк";"Резервы";""		
2025-05-28;"-18.0";"";"azn";"Продукты";"18";"Кошелёк";"Резервы";""		
2025-05-28;"-9.0";"";"azn";"Медицина / Лекарства";"9";"Кошелёк";"Резервы";""		
2025-05-28;"15.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-05-27;"-28.3";"-25.0";"azn";"Продукты";"4.3 24";"ASB kart";"Резервы";""		
2025-05-27;"-25.0";"";"azn";"Кафе	 ресторан";"25";"Кошелёк";"Резервы";""	
2025-05-26;"-2.7";"";"azn";"Продукты";"2.7";"ABB kart Samira";"Резервы";""		
2025-05-25;"20.0";"";"azn";"";"";"";"";"Кошелек Самира => Кошелёк"		
2025-05-25;"8.0";"";"azn";"";"";"";"";"ASB kart => ABB kart Samira"		
2025-05-25;"-9.0";"-20.0";"azn";"Ребенок / Траты";"5 4";"Кошелёк";"Резервы";""		
2025-05-24;"-14.0";"";"azn";"Ребенок";"14 анализы";"ABB kart Samira";"Резервы";""		
2025-05-24;"-18.5";"-25.0";"azn";"Продукты";"3.5 15";"ABB kart Samira";"Резервы";""		
2025-05-23;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-05-23;"-15.0";"-25.0";"azn";"Автомобиль / Бензин";"15";"ABB kart Samira";"Резервы";""		
2025-05-22;"-3.0";"";"azn";"Интернет и связь";"3 Самира";"ABB kart Samira";"Резервы";""		
2025-05-22;"45.0";"";"azn";"";"";"";"";"ABB kart Samira => Кошелёк"		
2025-05-22;"-7.0";"-25.0";"azn";"Продукты";"7";"ABB kart Samira";"Резервы";""		
2025-05-22;"-20.0";"-25.0";"azn";"Кафе	 ресторан";"20 с автоматиками";"Кошелёк";"Резервы";""	
2025-05-21;"-13.0";"";"azn";"Транспорт";"13";"Кошелёк";"Резервы";""		
2025-05-21;"-30.0";"";"azn";"Ребенок";"30 к врачу";"ABB kart Samira";"Резервы";""		
2025-05-21;"-58.0";"-100.0";"azn";"Одежда и обувь";"30 обувь Ильгар	 28 кофта Самира";"Кошелёк";"Резервы";""	
2025-05-21;"-6.0";"-6.0";"azn";"Платный софт";"6 Yandex Music";"ASB kart";"Резервы";""		
2025-05-20;"-11.0";"-25.0";"azn";"Продукты";"9 2";"Кошелёк";"Резервы";""		
2025-05-18;"-36.5";"";"azn";"Автомобиль";"36.5 Штраф";"ASB kart";"Резервы";""		
2025-05-18;"4.0";"";"azn";"";"";"";"";"ABB kart Samira => Кошелёк"		
2025-05-18;"-7.0";"-20.0";"azn";"Ребенок / Траты";"7";"Кошелёк";"Резервы";""		
2025-05-17;"-116.0";"";"azn";"Ребенок";"116 На анализы";"ABB kart Samira";"Резервы";""		
2025-05-17;"-18.0";"-25.0";"azn";"Продукты";"14 4";"Кошелёк";"Резервы";""		
2025-05-16;"-4.0";"-4.0";"azn";"Развлечения и хобби";"4 futbol";"Кошелёк";"Резервы";""		
2025-05-16;"-25.0";"-25.0";"azn";"Автомобиль / Бензин";"25";"ABB kart Samira";"Резервы";""		
2025-05-15;"-15.0";"";"azn";"Транспорт";"15";"Кошелёк";"Резервы";""		
2025-05-15;"-28.0";"";"azn";"Интернет и связь";"15 10 3 Ильгар";"Albali кредитная карта";"Резервы";""		
2025-05-15;"-20.0";"-25.0";"azn";"Продукты";"20";"ABB kart Samira";"Резервы";""		
2025-05-15;"-10.0";"-100.0";"azn";"Гигиена и красота";"10";"Кошелек Самира";"Резервы";""		
2025-05-14;"-72.0";"";"azn";"Медицина / Лекарства";"72 Для Самиры";"ABB kart Samira";"Резервы";""		
2025-05-14;"-5.0";"";"azn";"Дом";"5";"ASB kart";"Резервы";""		
2025-05-14;"-14.0";"";"azn";"Транспорт";"14";"Кошелек Самира";"Резервы";""		
2025-05-14;"-1010.0";"-1000.0";"azn";"Медицина / Лечение";"1010 тесты и анализы для выявления болезней ребенка.";"ASB kart";"Резервы";""		
2025-05-14;"-35.65";"-40.0";"azn";"Ком. услуги / Электроэнергия";"35.65";"ASB kart";"Резервы";""		
2025-05-13;"-1.6";"";"azn";"Дом";"1.6";"ABB kart Samira";"Резервы";""		
2025-05-13;"500.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2025-05-13;"-4.9";"";"azn";"Продукты";"4.9";"Кошелек Самира";"Резервы";""		
2025-05-13;"5.0";"";"azn";"";"";"";"";"ABB kart Samira => ASB kart"		
2025-05-13;"-22.0";"-25.0";"azn";"Продукты";"17 5";"ASB kart";"Резервы";""		
2025-05-12;"-28.0";"";"azn";"Кафе	 ресторан";"28";"ABB kart Samira";"Резервы";""	
2025-05-12;"-500.0";"-500.0";"azn";"Ребенок / Терапия";"500 детский садик и терапия";"Кошелёк";"Резервы";""		
2025-05-11;"-16.0";"";"azn";"Транспорт";"16";"Кошелек Самира";"Резервы";""		
2025-05-11;"-100.0";"";"azn";"Подарки";"100 Гюльнары сына кичик той";"Кошелек Самира";"Резервы";""		
